[00:00]  Sottotitoli creati dalla comunità Amara.org
[00:30]  Sono Antonello Panza, sono il segretario generale della Federazione Italiana al Muoto
[00:36]  e il tema che oggi affronterò insieme a voi è quello che riguarda la natura giuridica delle federazioni sportive italiane
[00:45]  e per quello che attiene più in particolare la Federazione al Muoto, alcuni degli aspetti principali dello statuto che regolano l'attività della Federazione al Muoto.
[00:56]  Alcune premesse sono di carattere generale, sono tuttavia necessarie.
[01:01]  Sul comparto nel 1999 con l'approvazione del decreto legislativo numero 242 recante norme sul riordino del CONI,
[01:13]  venne di fatto introdotta già da allora un'importante novità legislativa.
[01:19]  La novità legislativa introdotta dall'articolo 15 del citato del decreto legge 242.99
[01:26]  era quella in base alla quale venne prevista la trasformazione delle federazioni sportive nazionali da enti di diritto pubblico
[01:34]  collegate come organi tecnici al CONI, organismo pubblico di riferimento,
[01:41]  in soggetti con personalità giuridica di diritto privato nella caratterizzazione di associazioni riconosciute senza fine di lucro,
[01:52]  per cui rette, per questa ragione, dalla disciplina del codice civile e dalle relative disposizioni di attuazioni
[02:00]  per quello che riguarda l'attività degli enti a base associativa di diritto privato.
[02:05]  Questa fu una modifica abbastanza importante dell'epoca.
[02:09]  Mantenne al CONI la configurazione di ente pubblico anche ai fini del controllo sulle federazioni,
[02:15]  ma il legislatore dell'epoca ritenne di attribuire alle federazioni per consentire una migliore loro operatività
[02:23]  a punto di vista dell'organizzazione degli eventi,
[02:26]  di fronte anche alla crescente complessità dell'organizzazione dei grandi eventi sportivi,
[02:31]  una configurazione più snella, meno burocratica, che poteva essere, tutto sommato, prevista grazie a una configurazione di natura privatistica,
[02:42]  ancorché le federazioni sono comunque rimaste sotto una stretta vigilanza del CONI per quello che riguarda l'utilizzo delle risorse pubbliche,
[02:53]  essendo soggetti destinatari di contributi pubblici per l'attuazione delle finalità sportive che lo statuto a loro affida.
[03:03]  Questa trasformazione è stata importante, però va anche letta insieme a una tipicità storica delle federazioni.
[03:11]  Fino al 1999 le federazioni sportive erano considerate enti di diritto pubblico,
[03:18]  e lo erano di fatto, era all'epoca chiamato il comparto del parastato, degli enti non economici del parastato,
[03:27]  e però era sempre stata riconosciuta una atipicità per la natura comunque di alcuna attività che avevano valenza privatistica
[03:37]  e quello riguardava alcune attività che le federazioni svolgevano, come l'organizzazione dei campionari piuttosto che delle manifestazioni,
[03:46]  che attenevano all'attività privatistica della federazione e non alla sua funzione specificatamente pubblica,
[03:53]  per cui si parlava di enti misti, pubblici privati, enti pubblici con taluna attività di natura privatistica.
[04:01]  La riforma del 1999 invertì la prospettiva, le federazioni diventano enti di diritto privato,
[04:08]  ma tuttavia il comma 2 dell'articolo 15, cosa prevedeva del decreto legislativo 242?
[04:15]  Una cosa comunque sempre importante dal punto di vista della sostanza organizzativa,
[04:24]  il mantenimento per taluna e attività della valenza pubblicistica da individuarsi nello statuto del CONI.
[04:33]  Per cui semplicemente fino al 1999 le federazioni erano enti di diritto pubblico con alcune attività consigliate privatistiche,
[04:41]  per cui enti misti dal punto di vista delle attività svolte, sembra un gioco di parole,
[04:47]  dal 1999 in poi, dal 2000 in poi sono diventati enti di diritto privato ma con alcune attività che hanno una valenza pubblicistica.
[04:54]  Quali sono queste che hanno mantenuto valenza pubblicistica? Questo riguarda anche la federazione e vale tutte le federazioni.
[05:01]  Sono tutte le attività relative all'ammissione e all'affiliazione delle società?
[05:06]  Per fare un esempio, rispetto a una domanda di affiliazione a una federazione sportiva,
[05:12]  l'eventuale dinego al di là dei passaggi interni ai ricorsi amministrativi interni,
[05:18]  la giurisdizione in caso di contenzioso sul dinego di una richiesta di affiliazione rimane la giustizia amministrativa,
[05:27]  il TAR non rimane giudice ordinario. Questo deriva proprio perché la riconoscimento sportivo da legge
[05:34]  ha mantenuto una finalità pubblicistica, per cui il dinego di una riconoscimento sportivo
[05:41]  non è da devolvere alla conoscenza del giudice ordinario ma è da devolvere al giudice amministrativo, per cui al TAR.
[05:52]  Insieme alle affiliazioni abbiamo anche la revoca a qualsiasi titolo della stessa affiliazione,
[06:01]  per cui la revoca di una affiliazione e competenza pubblica del Tribunale amministrativo,
[06:06]  anche il controllo del regolare svolgimento delle competizioni di campionati professionistici e attività pubblica,
[06:14]  ma qui è noto, se pensate bene, che su temi di maggior diffusione giornalistica,
[06:21]  pensate ai ricorsi contro le classifiche, le promozioni, le retrocessioni, i titoli sportivi nel calcio,
[06:30]  voi ricorderete bene che in ultima istanza su taluni provvedimenti, in quel caso presi dalla fede del calcio,
[06:37]  sui calendari delle leghe professionistiche, dei campionati professionistici, ci sono stati ricorsi in ultimo grado di appello
[06:46]  di fronte ai TAR, per cui di fronte al giudice amministrativo, che è l'organo di ultima istanza per il contenzioso
[06:55]  che si può creare all'interno di una federazione, e avendo natura pubblica anche il giudice di riferimento,
[07:01]  anche in questo caso rimane quello amministrativo.
[07:04]  Ma ancora di più, ovviamente rimangono enti, soggetti, a valenza pubblicistica per quello che attiene l'utilizzo dei contributi pubblici,
[07:13]  la repressione, la lotta al doping, la preparazione olimpica e soprattutto anche la gestione degli impianti sportivi pubblici,
[07:22]  elemento che ha un'importanza nelle situazioni nelle quali gli enti locali possono individuare le federazioni,
[07:30]  anche quali partner per la gestione di impianti pubblici e applicando accordi di collaborazione,
[07:37]  non dovendo in quel caso procedere all'applicazione attraverso bando di gara per l'individuazione del gestore.
[07:44]  Questo perché la valenza pubblicistica delle federazioni nella gestione di impianti sportivi
[07:50]  dà il rapporto con l'ente locale con cessionario di un impianto sportivo,
[07:55]  quello che per legge è caratterizzato come rapporto tra pubbliche amministrazioni,
[08:00]  in cui vedete le conseguenze possono anche essere importanti a punto di vista dell'attività della federazione
[08:07]  da quello che sembra un semplice gioco di termini e di lessico, mentre in realtà ha una sostanza giuridica molto importante.
[08:15]  La tipicità particolare delle associazioni riconosciute che sono oggi le federazioni
[08:21]  sono anche alcune d'erogue rispetto anche alle previsioni del codice civile, codicistiche,
[08:27]  come voi sapete le associazioni riconosciute o non devono portare il proprio statuto
[08:34]  all'approvazione del bilancio di fronte ai propri associati.
[08:40]  Questo ovviamente prevede nella norma ordinaria il codice civile per tutti gli enti a base associativa,
[08:48]  compese le associazioni riconosciute. Per le federazioni la norma è derogata,
[08:54]  i bilanci delle federazioni sono approvati annualmente dal Consiglio federale,
[08:59]  ma sono sottoposti all'approvazione della giunta nazionale del CONI.
[09:03]  E soltanto in caso di mancata approvazione del bilancio da parte del CONI,
[09:09]  che è previsto e la legge prevede, lo statuto del CONI prevede,
[09:13]  che si debba tornare nelle assemblee federali per poter sottoporre il documento contabile
[09:19]  alla ulteriore valutazione della base associativa.
[09:23]  Come comprenderete, questo dimostra come questi soggetti sono comunque atipici,
[09:29]  erano atipici nel momento che le federazioni erano connaturate come enti pubblici,
[09:34]  ma avevano anche attività che erano considerate private,
[09:38]  oggi che sono privati mantengono comunque un importante ambito di valenza pubblica,
[09:44]  tant'è che anche l'approvazione del bilancio è affidato direttamente all'ente di controllo diretto
[09:50]  che è il CONI e non all'assemblea annuale degli affiliati.
[09:54]  Oltre all'accenno che abbiamo appena concluso sulla singolarità della configurazione delle federazioni,
[10:02]  anche all'esito della riforma del 99, come soggetti retti da norme e diritto privato,
[10:09]  pur mantenendo valenza pubblicistica su attività molto importanti e molto rilevanti,
[10:15]  un ulteriore accenno residuale lo merita anche l'ulteriore distinzione
[10:20]  che nel mondo delle federazioni registriamo da il comparto professionistico e quello direttantistico.
[10:27]  Su questo anche senza approfondire le eventuali novità che possono derivare
[10:33]  dalla recente ulteriore riforma del sistema sportivo italiano
[10:37]  che è ancora in fase di applicazione e non ha dato ancora le indicazioni definitive sugli assetti
[10:43]  che prenderanno le federazioni agli esiti dell'applicazione della recente riforma del sistema sportivo
[10:51]  e il tema del professionismo e dilettantismo nelle federazioni
[10:56]  oggi ancora regolato da legge 91 dell'81.
[10:59]  Per cui sostanzialmente la maggior parte delle federazioni sono in natura dilettantistica,
[11:04]  sono professionistiche solo alcune federazioni che per statuto decidono di configurarsi come sport professionistici
[11:12]  su tutto il calcio evidentemente, ma si ricordi che anche lo stesso calcio è una federazione
[11:19]  che ha due comparte interni perché è una federazione professionistica
[11:24]  ovviamente per i campionati che sono configurati come tali ma anche un grande settore dilettantistico
[11:30]  tanto che è in statuto della federcalcio due leche distinte tra la lega professionisti e la lega dilettanti
[11:38]  e dunque anche nei sport professionistici è sempre presente comunque anche la dimensione dilettantistica
[11:45]  legata all'attività di base e all'attività giovanile.
[11:48]  La federazione della nuoto in realtà come statuto si è configurata come associazione sportiva
[11:55]  riconosciuta senza finilucro dilettantistica che questa è la configurazione soprattutto del mondo associativo
[12:04]  di riferimento delle nostre associazioni e società sportive affiliate.
[12:08]  Come finalità lo statuto ne prevede di importanti e di complesse.
[12:14]  Ovviamente quella principale è quella ben nota della promozione, organizzazione, disciplina
[12:19]  e diffusione di tutte discipline sportive acquatiche da nuoto ai tuffi alla palla a nuoto
[12:26]  al nuoto sincronizzato al nuoto di fondo al nuoto per salvamento e anche connessa a queste
[12:33]  l'attività agginico motori acquatiche applicative dei sport che abbiamo appena citato ma che sono necessarie
[12:40]  per garantire la loro migliore crescita.
[12:44]  Accanto a queste caratteristica principale dello statuto è la previsione della presenza della sezione salvamento
[12:53]  che ha lo scopo statutario di promuovere regolamentare e disciplinare l'attività agonistica
[12:59]  ma anche l'insegnamento e l'addestramento alla prevenzione di incidenti in acqua,
[13:04]  alla diffusione, alla conoscenza, all'organizzazione delle pratiche sanitarie di primo soccorso
[13:10]  anche nell'ambito dei programmi del servizio sanitario di protezione civile nonché di tutela ambientale delle acque.
[13:18]  Questo dà subito contezza della complessità delle funzioni e dei scopi che lo statuto all'articolo 1 prevede
[13:29]  dove vicino ad attività sportiva di varie attività per cui la sezione nuoto per statuto
[13:36]  di fatto e pluridisciplinare può essere considerata una confederazione dei sport acquatici.
[13:42]  Tali sono anche le differenze tecniche, dalla disciplina del nuoto, dei tuffi, della palla nuoto, del nuoto sincronizzato
[13:49]  al quale peraltro nei tuffi si è anche aggiunto di recente una disciplina che fa parte dell'assettore
[13:56]  ma che a sua volta diversa come organizzazione, pensate ai tuffi delle grandi altezze,
[14:01]  che è disciplina che sta comunque rapidamente sviluppandosi assomendo importanza, ma poi una funzione anche importante
[14:08]  nel tema della formazione dei tecnici e in particolare tra sezione salvamento.
[14:14]  Dunque questo dà alla federazione, rispetto alle altre organizzazioni federali, una grande presenza
[14:20]  in termini anche di diffusione di una cultura sportiva legata al concetto di sicurezza, al concetto di salute,
[14:29]  tant'è che, se voi pensate, le statistiche che vedono dal dopoguerra in poi in continuo decremento,
[14:37]  quelle che sono, ci sono pubblicazioni statistiche di riferimento più volte presentate dalla stessa feder nuoto
[14:43]  sulle morti per annegamento in acqua, come dato decrescente dal dopoguerra in poi fino ai nostri giorni,
[14:51]  questo grazie a un aumento di quella che noi chiamiamo la cultura dell'acqua e dell'acquaticità,
[14:57]  per cui questo passa attraverso la formazione di operatori della sicurezza in acqua, che sono i nostri assistenti bagnanti,
[15:05]  più amabilmente anche chiamati bagnini, che ormai sono dei professionisti della sicurezza in acqua,
[15:11]  ma questo anche dà l'importanza che ha avuto in questi anni l'aumento della pratica sportiva di base,
[15:18]  dove la federazione ha lavorato per affiancare alla visione e alla prospettiva anche agonistica,
[15:25]  ossia la possibilità che dall'attività di base alla scuola nuoto si possa accedere a una carriera sportiva agonistica,
[15:31]  ha anche una valenza dell'attività formativa di base come semplice acquisizione della cultura dell'acquaticità,
[15:39]  perché, come semplicemente è facile intuire, più bambini e più giovani acquisiscono una consapevolezza,
[15:47]  un corretto utilizzo dell'elemento acqua in piscina e al mare,
[15:51]  e più è difficile che quella persona possa trovarsi in condizioni di difficoltà e dunque anche in pericolo di vita,
[15:58]  opposta addirittura a sua volta essere in grado di soccorrere persone in difficoltà,
[16:03]  aumentando dunque la sicurezza in acqua e diminuendo l'incidenza di morti per annegamento,
[16:10]  che tuttora rimane un dato comunque presente e preoccupante, anche se in costante discesa,
[16:17]  grazie anche all'attività svolta dalla federazione di forte impegno,
[16:22]  affinché ci sia una crescita continua di consapevolezza da una parte del corretto utilizzo dell'elemento acqua
[16:30]  e dall'altra di un numero di professionisti formati e aggiornati per operare come addetti al pericolante,
[16:41]  come chiamiamo noi, essere in grado di intervenire correttamente,
[16:45]  potendo salvare la vita della persona in difficoltà senza magari mettere in pericolo la propria.
[16:51]  Questa è una mission statutaria, ma è molto importante,
[16:55]  anche un po' è una specificità della federazione nuoto rispetto ad altre federazioni sportive
[17:02]  più tradizionali dal punto di vista delle previsioni statutaria.
[17:07]  Come tutte le federazioni, la federazione ovviamente è riconosciuta dal conio per statuto
[17:12]  e per l'articolo 3 dello statuto federale ripete il concetto che vi ho detto in apertura.
[17:19]  La federazione, in considerazione alla valenza pubblicistica di taluni aspetti delle attività che svolge,
[17:25]  mantiene una valenza pubblica per le attività che abbiamo prima ricordato,
