[00:00]  Buongiorno a tutti e buongiorno a tutti.
[00:30]  Sono Lorenzo Baruggo, il medico federale della Federazione Nuoto.
[00:35]  Sono un ex nuotatore, ho fatto parte delle squadre nazionali negli anni 70,
[00:42]  poi nuotatore master e dagli anni 80 un medico nelle squadre nazionali.
[00:50]  L'argomento di oggi è il corpo umano, un argomento molto vasto purtroppo
[00:56]  che non si può sviscerare in pochi minuti anche se in due lezioni
[01:03]  quindi non avremo modo di poterlo completare in maniera del tutto soddisfacente.
[01:10]  Comunque alcune nozioni di base per quello che riguarda l'anatomia, la fisiologia del corpo umano
[01:17]  è bene che siano conosciute anche dagli allenatori di nuoto e quindi cominciamo.
[01:25]  Per fare un brevissimo riassunto su quella che è la vita sulla terra,
[01:32]  ricordo che l'universo è formato prevalentemente da minerali, gas,
[01:40]  quindi è al 999, chissà quanto, per cento di natura assolutamente inorganica.
[01:51]  Sulla terra è presente materiale organico,
[01:55]  il materiale organico sia vegetale che animale è a struttura prevalentemente proteica in un ambiente acquatico
[02:03]  con presenza anche di grassi e zuccheri, quindi questa particolarità.
[02:09]  La vita sul pianeta terra nasce come unicellulare,
[02:17]  quindi in un unico involucro esterno delle cellule che normalmente sono molto piccole,
[02:24]  sono visibili solo al microscopio, sono state le prime cellule viventi, sono state delle alghe o qualcosa di simile,
[02:32]  quindi dentro questo involucro era chiuso tutto quello che serve per nutrirsi, per riprodursi,
[02:41]  per respirare, per produrre energia, per muoversi, tutto in un'unica cellula all'interno di questo involucro che si chiama parete cellulare.
[02:51]  Nell'evoluzione successiva si è passata, si è passati a degli esseri viventi multicellulari,
[03:02]  questi esseri viventi multicellulari prevalentemente come si formano?
[03:10]  Si formano dall'unione di due gameti, maschile e femminile, che danno origine a una prima cellula
[03:18]  che poi si suddivide ulteriormente e progressivamente e formando degli stipiti cellulari,
[03:28]  quindi delle cellule a funzione diversa che si differenziano via via fino a formare tutti i vari organi apparati.
[03:38]  C'è la possibilità di riprodursi negli organismi multicellulari anche per partenogenesi, autoclonazione,
[03:52]  cioè praticamente senza bisogno dell'unione di due gameti maschile e femminile, però in questo caso l'essere vivente che viene prodotto
[04:02]  è assolutamente identico al genitore, quindi non c'è nessuna differenza, nessuna progressione nella specie, ma rimane praticamente completamente uguale.
[04:18]  Queste cellule che si moltiplicano e che all'inizio sono simili e poi si differenziano nei vari apparati si specializzano in maniera diversa,
[04:36]  quindi ognuna impara a fare cose diverse rispetto alle altre. Tutto questo c'è nel patrimonio genetico,
[04:45]  quindi non è che sia un qualcosa fatto a caso, ma è un tutto scritto nel libro del DNA che è all'interno del nucleo cellulare.
[04:59]  La cellula, tanto per dare qualche informazione su come è fatta, che sia unicellulare e che sia multicellulare,
[05:13]  quindi abbiamo detto che è costituita da un involucro esterno che è la membrana, la membrana è abbastanza complessa,
[05:21]  questa parete cellulare è composta di proteine, di fosfolipidi, ha un polo lipofilo e un polo invece idrofilo,
[05:32]  quindi è molto capace e in grado di selezionare con molta precisione ciò che entra, ciò che esce,
[05:42]  il momento in cui deve non far entrare una cosa, non farla uscire o permettere che entri o che esca.
[05:52]  All'interno abbiamo già detto che c'è un nucleo, il nucleo è il cervello della cellula e all'interno è custodito il DNA,
[06:07]  quindi il patrimonio diciamo così scritto di tutto quello che la cellula è e quello che deve fare.
[06:21]  All'esterno c'è un ambiente che si chiama citoplasma, in questo citoplasma ci sono vari organi,
[06:31]  vari organuli, alcuni possono servire per produrre del materiale soprattutto di tipo proteico,
[06:43]  altri servono per produrre energia e sono i mitocondri, altri servono a scopo difensivo
[06:54]  e quindi diciamo che nella cellula ci sono tutte queste strutture che consentono una vita interna.
[07:03]  Poi naturalmente le cellule specializzate hanno ognuna uno scopo e una funzione particolare,
[07:15]  quindi all'interno possono imparare a produrre tessuto osseo o trasformarsi in fibre muscolari
[07:25]  e quindi avere quella forma specifica delle fibrille, delle mie fibrille muscolari con sempre un nucleo
[07:36]  che di solito serve più cellule e anche dei mitocondri, però ci sono anche in questo caso,
[07:47]  nel caso della cellula muscolare, delle proteine con trattili specifiche, quindi nel complesso c'è
[07:56]  una situazione comune a tutte le cellule e poi ogni ceppo ha la sua specifica funzione
[08:07]  e la sua specifica morfologia strutturale. Quando poi l'organismo è sviluppato si saranno formati
[08:19]  tutti i vari organi e tutte le varie strutture, quindi ci sarà il cervello e il sistema nervoso,
[08:27]  ci saranno tutti i vari organi dai reni, al fegato, al intestino, eccetera eccetera,
[08:33]  quello che però a noi interessa è vedere un attimo quelle che possono essere le strutture
[08:44]  e gli organi che sono connessi con il movimento, quindi tutto quello che ha a che fare
[08:55]  con il movimento dell'essere umano. I sistemi connessi col movimento dell'essere umano sono
[09:05]  il sistema nervoso centrale e periferico da cui partono gli ordini e dove arrivano le afferenze
[09:13]  e le notizie dalla periferia e poi i due apparati respiratori e cardiocircolatori che servono
[09:23]  per prendere dall'esterno l'ossigeno prevalentemente e portarlo alle cellule,
[09:32]  è come portare via dalle cellule il CO2 e quindi eliminarlo attraverso la respirazione.
[09:44]  L'effettivo movimento viene assicurato dall'apparato osteoarticolare e dall'apparato muscolare,
[09:55]  quindi anche se è presente questa struttura predisposta per produrre il movimento,
[10:06]  che è l'ultima che vi ho detto, quindi l'apparato osteoarticolare, l'apparato muscolare,
[10:11]  che poi sono gli effettivi effettuatori del movimento, naturalmente c'è bisogno dell'energia
[10:21]  perché il muscolo per contrarsi necessita di energia. Questa energia viene in gran parte
[10:35]  tenuta i serbattoi all'interno del corpo umano, quindi per quanto gli guarda gli zuccheri
[10:43]  sotto forma di glicogeno, in parte nel fegato, in parte nel muscolo, per quello che riguarda
[10:52]  invece i grassi prevalentemente nel tessuto adiposo, per quello che riguarda le proteine,
[11:00]  non ci sono veri e propri depositi di riserva ma esistono solo delle proteine circolanti
[11:10]  e delle proteine di struttura che comunque talora vengono utilizzate ai fini energetici.
[11:19]  Il problema è che la maggior parte dell'energia viene fornita attraverso un metabolismo aerobico,
[11:30]  quindi esiste il metabolismo anaerobico sia a lattacido che lattacido, quindi quello fornito
[11:42]  direttamente dalla fosfocreatina e dell'ATP che è il metabolismo a lattacido, anaerobico sempre,
[11:50]  e quello che partendo dagli zuccheri arriva all'acido lattico che è il metabolismo anaerobico lattacido.
[11:57]  Però tutto poi alla fine confluisce in un metabolismo aerobico,
[12:03]  perché il metabolismo aerobico funzioni non c'è solo bisogno dei combustibili che sono già presenti
[12:12]  all'interno del corpo umano e questi combustibili abbiamo detto sono grassi, zuccheri e proteine,
[12:20]  ma c'è bisogno di un comburente, il comburente è l'ossigeno
